,Lon,Lat,Date,Station,Track
242,-66.48981333,44.68503167,25-Sep,,
243,-66.48960667,44.685035,25-Sep,,
244,-66.48941833,44.68515667,25-Sep,,
245,-66.489325,44.68530167,25-Sep,,
246,-66.48930667,44.68537667,25-Sep,,
247,-66.48932833,44.68541667,25-Sep,,
248,-66.48938833,44.68543,25-Sep,,
249,-66.48948,44.685385,25-Sep,,
250,-66.48969667,44.68493,25-Sep,,
251,-66.48975833,44.68498167,25-Sep,,
252,-66.48983333,44.684975,25-Sep,,
253,-66.48989,44.6849,25-Sep,,
254,-66.48987,44.68474833,25-Sep,,
255,-66.489715,44.68448167,25-Sep,,
256,-66.48959833,44.68417833,25-Sep,,
257,-66.48957667,44.68404,25-Sep,,
258,-66.48964,44.683945,25-Sep,,
259,-66.48979667,44.6839,25-Sep,,
260,-66.48994,44.68391833,25-Sep,,
261,-66.49013167,44.68400833,25-Sep,,
262,-66.49028167,44.68415167,25-Sep,,
263,-66.49037667,44.68432833,25-Sep,,
264,-66.49041,44.68484667,25-Sep,,
265,-66.49037167,44.68533167,25-Sep,,
266,-66.49024,44.68568833,25-Sep,,
267,-66.49024333,44.68577333,25-Sep,,
268,-66.4903,44.68583833,25-Sep,,
269,-66.49036,44.685845,25-Sep,,
270,-66.49041,44.685795,25-Sep,,
271,-66.4904,44.68576167,25-Sep,,
272,-66.49030333,44.68583667,25-Sep,,
273,-66.4903,44.68580667,25-Sep,,
274,-66.49024333,44.685825,25-Sep,,
275,-66.49021,44.685795,25-Sep,,
276,-66.49026333,44.68552333,25-Sep,,
277,-66.49037833,44.68528833,25-Sep,,
278,-66.490535,44.68512167,25-Sep,,
279,-66.49071667,44.68503667,25-Sep,,
280,-66.49084167,44.68503,25-Sep,,
281,-66.49092667,44.68509667,25-Sep,,
282,-66.490925,44.68526833,25-Sep,,
283,-66.49084333,44.68547833,25-Sep,,
284,-66.49052833,44.68594333,25-Sep,,
285,-66.49044167,44.686185,25-Sep,,
286,-66.49036,44.68625667,25-Sep,,
287,-66.49023167,44.68629,25-Sep,,
288,-66.49013167,44.68628,25-Sep,,
289,-66.49001167,44.68619833,25-Sep,,
290,-66.48985167,44.68540333,25-Sep,,
291,-66.489905,44.68532667,25-Sep,,
292,-66.48999667,44.68529,25-Sep,,
293,-66.49007167,44.685295,25-Sep,,
294,-66.49017333,44.68536,25-Sep,16,m20
295,-66.490235,44.68549833,25-Sep,16,m20
296,-66.490495,44.69203833,25-Sep,16,m20
297,-66.49081333,44.69436333,25-Sep,16,m20
298,-66.49092833,44.69485333,25-Sep,16,m20
299,-66.49126833,44.69573333,25-Sep,16,m20
300,-66.49314167,44.69924333,25-Sep,16,m20
