date,time,time,event,location,Whales?,comments,initials,page,,
,12:33:00,15:33:00,cage017,"44 43.605 N
66 28.549 W",No,Pinger says max of 153m; check CTD data for recorded depth + compare,DM,3 of 4,,
,12:47:00,15:47:00,Echosounder,NA,No,"Layer from 0-40m at 200 kHz; little bit at 100m
Echosounder off at 14:49 ADT",DM,3,,
,13:00:00,16:00:00,multi012,"44 43.675 N
66 28.635 W",No,"Fiddled with depth pinger to determine how to stop running the net into the ground
Undershot unlocking depth -> nets did not fire",DM,3,,
,13:22:00,16:22:00,multi013,"44 43.702 N
66 28.719 W",No,NA,,3,,
,13:44:00,16:44:00,cage018,"44 44.326 N
66 28.689 W",No,NA,,3,,
,14:12:00,17:12:00,cage019,"44 45.910 N
66 28.268 W",No,NA,DM,4 of 4,,
,14:31:00,17:31:00,multi014,"44 45.921 N
66 28.269 W",No,NA,DM,4,,
,14:56:00,17:56:00,cage020,"44 46.468 N
66 28.690 W",No,NA,DM,4,,
,15:22:00,18:22:00,Battery check,NA,No,"OPC 25.99 V
Multinet 8.89 V",DM,4,,
,,,,,,,,,,
24-Sep,8:11:00,11:11:00,Battery check/swap,Dock,No,"Swapped OPC battery 2 for battery 3
Batt 2 swapped @ 25.95 V
Batt 3 @ 26.85 V
Multinet 9V; CTD batt 11.7 V",DM/KD,1 of 4,,
,10:16:00,13:16:00,On watch,NA,No,Kim on whale watch,KD,1,,
,11:04:00,14:04:00,Off watch,NA,No,"Kim off whale watch
No whales sighted",KD,1,,
,11:12:00,14:12:00,Glider deployment,"44 40.937 N
66 29.546 W",No,NA,DM,1,,
,11:22:00,14:22:00,Battery swap,NA,No,Communication cable for OPC had battery swapped,DM,1,,
,11:59:00,14:59:00,cage021,"44 40.582 N
66 29.350 W",No,,DM,2 of 4,,
,12:29:00,15:29:00,multi015,"44 40.636 N
66 29.371 W",No,Aborted tow @ 12:19 due to improperly programmed depths. Redeployed at 12:29,DM,2,,
,12:59:00,15:59:00,cage022,"44 40.026 N
66 28.335 W",No,,KD,2,,
,13:37:00,16:37:00,cage023,"44 41.278 N
66 28.972 W",No,,DM,2,,
,14:04:00,17:04:00,multi016,"44 41.340 N
66 28.139 W",No,,DM,2,,
,14:27:00,17:27:00,cage024,"44 42.383 N
66 28.927 W",No,,KD,3 of 4,,
,15:02:00,18:02:00,cage025,"44 44.418 N
66 28.927 W",No,,DM,3,,
,15:22:00,18:22:00,multi017,"44 44.809 N
66 28.741 W",No,,DM,3,,
,15:45:00,18:45:00,cage026,"44 45.888 N
66 28.807 W",No,,KD,3,,
,16:07:00,19:07:00,cage027,"44 46.742 N
66 28.678 W",No,,KD,3,,
,16:27:00,19:27:00,multi018,"44 46.723 N
66 28.658 W",Yes,"Dolphins sighted, many!",DM,4 of 4,,
,16:48:00,19:48:00,cage028,"44 46.425 N
66 28.629 W",No,,DM,4,,
,,,,,,,,,,
25-Sep,9:11:00,12:11:00,Battery check,NA,No,"OPC battery check - 26.43 V
CTD battery check - 12.4 V
Downloaded CTD data",NH,1 of 3,,
,12:11:00,15:11:00,Glider 005 Deployment,"44 40.679 N
66 29.715 W",No,Glider deployed,NH,1,,
,13:02:00,16:02:00,cage029,"44 40.485 N
66 29.517 W",No,"Water depth: 186m
OPC + CTD off at 13:13",NH,1,,
,13:28:00,16:28:00,multi019,"44 40.432 N
66 29.483 W",No,Water depth: 187m,NH,1,,
,13:51:00,16:51:00,cage030,"44 41.080 N
66 29.481 W",No,Water depth 181m,KD,1,,
,14:28:00,17:28:00,cage031,"44 41.140 N
? W",No,,KD,2 of 3,,
,14:51:00,17:51:00,multi020,"44 41.142 N
66 29.394 W",No,,NH,2,,
,15:16:00,18:16:00,cage032,"44 42.105 N
66 29.613 W",No,,KD,2,,
,15:54:00,18:54:00,cage033,"44 42.151 N
66 29.604 W",No,,KD,2,,
,16:15:00,19:15:00,multi021,"44 42.349 N
66 29.637 W",No,,,2,,
,16:38:00,19:38:00,cage034,"44 43.307 N
66 27.306 W",No,,KD,3 of 3,,
,,,,,,,,,,
26-Sep,8:36:00,11:36:00,Glider deployment,"44 54.079 N
66 46.731 W",No,Brief mishap with cart but glider successfully deployed,DM,1 of 3,,
,9:24:00,12:24:00,cage035,"44 53.602 N
66 46.633 W",No,,DM,1,,
,9:41:00,12:41:00,multi022,"44 53.545 N
66 46.763 W",No,,DM,1,,
,10:03:00,13:03:00,cage036,"44 52.988 N
66 47.363 W",No,Deployed to 140m; bottom depth 148m (overshot a bit),GL,1,,
,10:36:00,13:36:00,cage037,"44 52.343 N
66 47.548 W",No,,DM,1,,
,10:54:00,13:54:00,multi023,"44 52.197 N
66 47.663 W",No,,DM,2 of 3,,
,11:14:00,14:14:00,cage038,"44 51.603 N
66 47.758 W",No,,GL,2,,
,11:33:00,14:33:00,cage039,"44 50.966 N
66 48.263 W",No,,KD,2,,
,11:53:00,14:53:00,multi024,"44 50.901 N
66 48.228 W",No,,DM,2,,
,12:10:00,15:10:00,cage040,"44 50.324 N
66 48.011 W",No,,GL,2,,
,12:35:00,15:35:00,Glider recovery,"44 49.857 N
66 49.319 W",No,,DM,3 of 3,,
,13:09:00,16:09:00,multi025,"44 52.359 N
66 47.540 W",No,Cryovial tow @ station 019,DM,3,,
,14:01:00,17:01:00,multi026,"44 54.335 N
66 47.561 W",No,Cryovial tow @ station 019,,3,,
