 ,Area,Mean,Min,Max,Angle,Length (cm),Length (mm)
64,6.47E-05,234.342,185.667,254.833,75.579,0.048,0.48
65,5.24E-05,249.333,241.931,255,7.853,0.039,0.39
66,1.08E-04,213.969,60.333,254.464,101.31,0.081,0.81
67,5.59E-05,234.356,183.318,255,-127.235,0.042,0.42
68,9.79E-05,231.256,193.04,254.869,-129.144,0.073,0.73
69,1.14E-04,176.211,95.667,253.03,76.399,0.084,0.84
70,1.07E-04,179.02,99.667,253.333,-130.914,0.079,0.79
71,9.96E-05,188.093,151.597,244.768,-37.073,0.075,0.75
72,6.29E-05,197.161,161.747,254.387,-66.371,0.046,0.46
73,1.61E-04,205.901,144.664,255,-23.199,0.121,1.21
74,8.91E-05,173.782,77,249.667,95.711,0.066,0.66
75,1.33E-04,221.711,170.668,255,-51.459,0.1,1
76,8.74E-05,212.292,90.333,255,168.232,0.065,0.65
77,9.96E-05,235.817,192.075,254.973,-37.694,0.074,0.74
78,6.29E-05,229.33,188.263,255,-75.174,0.046,0.46
79,1.12E-04,221.097,190.431,255,-154.654,0.083,0.83
80,1.38E-04,159.744,128.118,231.532,-77.391,0.103,1.03
81,7.52E-05,212.529,132.302,253.803,11.041,0.055,0.55
82,7.17E-05,206.35,171.808,254.683,-91.432,0.053,0.53
83,6.12E-05,155.043,87.667,241.529,86.634,0.045,0.45
84,8.91E-05,222.177,194.46,254.311,40.101,0.066,0.66
85,5.77E-05,235.947,163.625,255,-97.125,0.043,0.43
86,5.59E-05,239.406,171.667,254.74,-165.069,0.041,0.41
87,9.96E-05,205.116,128.083,246.536,5.102,0.074,0.74
88,1.08E-04,222.014,133.333,255,158.895,0.081,0.81
89,1.42E-04,215.888,153.742,255,-23.671,0.105,1.05
90,9.79E-05,217.153,83.333,255,86.878,0.073,0.73
91,5.42E-05,227.21,107.667,254.804,-151.699,0.039,0.39
92,5.94E-05,192.315,50.667,226.667,158.839,0.044,0.44
93,1.14E-04,184.806,135.4,250.089,-71.847,0.085,0.85
